uniqueid,assignmentid,workerid,hitid,ipaddress,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,datastring
AIOF4ZQQ9UDZ4:3JBT3HLQF82AKK3LWLA9UH6DKUXPZF,3JBT3HLQF82AKK3LWLA9UH6DKUXPZF,AIOF4ZQQ9UDZ4,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:29:44.564274,,2015-11-30 19:43:21.315955,0,101,
A2EI075XZT9Y2S:3I7DHKZYGN00MTU2BU7OTJLEHP25FL,3I7DHKZYGN00MTU2BU7OTJLEHP25FL,A2EI075XZT9Y2S,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:54.425696,,2015-11-30 19:45:05.881386,0,101,
A2ABVJAZV9GPF2:37C0GNLMHF3Z7DGKP7M3XPWT17XD6Y,37C0GNLMHF3Z7DGKP7M3XPWT17XD6Y,A2ABVJAZV9GPF2,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:27:27.941736,,2015-11-30 19:42:57.950319,0,101,
A96XCIH9SSMZT:3RKNTXVS3MYNUJ9UM92MAQ49KDUA48,3RKNTXVS3MYNUJ9UM92MAQ49KDUA48,A96XCIH9SSMZT,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:28:42.457002,,2015-11-30 19:45:39.183693,0,101,
A8A18JVCPOROY:3QIYRE09Y3HDM3608VOPYYH670JN1S,3QIYRE09Y3HDM3608VOPYYH670JN1S,A8A18JVCPOROY,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:29:23.757338,,,0,103,
A37EV8RZ82WT8E:3UXUOQ9OKEXKD6RDO70TD2OJBFKA7S,3UXUOQ9OKEXKD6RDO70TD2OJBFKA7S,A37EV8RZ82WT8E,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:27:33.811609,,,0,104,
A1POQWMOWKNQCN:3NS0A6KXC48477AMT2KM08SLJ39ZGK,3NS0A6KXC48477AMT2KM08SLJ39ZGK,A1POQWMOWKNQCN,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:30:28.00043,,2015-11-30 19:44:17.127423,0,101,
A1BI3WXOR5CTHQ:3RXPCZQMQPB7CBPELRBU8E896O01G1,3RXPCZQMQPB7CBPELRBU8E896O01G1,A1BI3WXOR5CTHQ,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 20:51:49.709261,,2015-11-30 21:05:38.03322,0,105,
A2EPI9A2N9OP3J:36AHBNMV1RC1QXQQVQHVGGGM0IWDY6,36AHBNMV1RC1QXQQVQHVGGGM0IWDY6,A2EPI9A2N9OP3J,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 22:47:12.672333,,,0,104,
A2HHGI5CNSS5PD:3HMVI3QICJS7Y2AEFXX0FEFDBKQ1YZ,3HMVI3QICJS7Y2AEFXX0FEFDBKQ1YZ,A2HHGI5CNSS5PD,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 20:59:49.941508,,2015-11-30 21:16:03.393897,0,101,
A1RHBIKP1XTJUX:3RU7GD8VPOTDJ8H71TG1YO9AXG2PSH,3RU7GD8VPOTDJ8H71TG1YO9AXG2PSH,A1RHBIKP1XTJUX,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 22:36:59.800895,,2015-11-30 22:47:34.890666,0,101,
AYHXK9JTG8IV3:3LUY3GC63Z0R0AXFDQIQ3XDEA1MP7P,3LUY3GC63Z0R0AXFDQIQ3XDEA1MP7P,AYHXK9JTG8IV3,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 21:05:22.110364,,2015-11-30 21:13:55.718302,0,102,
AH73H9LAJ8SB7:3O6CYIULED1JIU6C2KPW5JZUBAXWU6,3O6CYIULED1JIU6C2KPW5JZUBAXWU6,AH73H9LAJ8SB7,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 00:38:00.973019,,2015-12-01 00:49:18.627136,0,102,
A3HKJB5MO8XN60:3R2UR8A0IAG3UPR5G3998WLC2P5XOB,3R2UR8A0IAG3UPR5G3998WLC2P5XOB,A3HKJB5MO8XN60,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 21:12:08.52892,,2015-11-30 21:27:41.34089,0,101,
A2P065E9CYMYJL:3TU5ZICBRD1G003DN8PLH2ZJQII8QS,3TU5ZICBRD1G003DN8PLH2ZJQII8QS,A2P065E9CYMYJL,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 22:42:51.590691,,2015-11-30 22:50:10.079787,0,102,
AIAYB87R80OKV:3JRJSWSMQHL5207220ZPW42URT3E3V,3JRJSWSMQHL5207220ZPW42URT3E3V,AIAYB87R80OKV,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 23:02:47.048327,,2015-11-30 23:14:35.111139,0,101,
ANXJRYZDKHNDV:34Z02EIMISDBARQ29861TS4ORR50TB,34Z02EIMISDBARQ29861TS4ORR50TB,ANXJRYZDKHNDV,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 22:30:11.003439,,2015-11-30 23:00:13.477685,0,104,
A3AFOESOUB7CXU:369J354OFDA2JXQBRXNB3AZQE0JG6J,369J354OFDA2JXQBRXNB3AZQE0JG6J,A3AFOESOUB7CXU,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 22:32:48.048551,,2015-11-30 22:59:29.038072,0,101,
A1QUI9OOTG3LOR:34QN5IT0TZRSC7YE6AV62W81DEL80V,34QN5IT0TZRSC7YE6AV62W81DEL80V,A1QUI9OOTG3LOR,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 23:04:39.996532,,2015-11-30 23:16:17.726726,0,101,
AWB13JY8BZPMW:3E337GFOL98AQIW3QE9S5LLC9QENG6,3E337GFOL98AQIW3QE9S5LLC9QENG6,AWB13JY8BZPMW,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 00:38:32.160541,,2015-12-01 00:53:23.904243,0,101,
ASNTJ81DXL7E8:37UEWGM5HT8Y11YS12567IMG8YQR14,37UEWGM5HT8Y11YS12567IMG8YQR14,ASNTJ81DXL7E8,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 01:58:30.48306,,2015-12-01 02:07:31.268915,0,101,
A10LGIY5HFYMZM:3STRJBFXOWRDNHX6D1GJCCJX5PDTKC,3STRJBFXOWRDNHX6D1GJCCJX5PDTKC,A10LGIY5HFYMZM,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 23:35:54.819814,,2015-11-30 23:46:14.2413,0,102,
A1X388C6SDCDEY:3LUY3GC63Z0R0AXFDQIQ3XDEA2WP71,3LUY3GC63Z0R0AXFDQIQ3XDEA2WP71,A1X388C6SDCDEY,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 00:37:29.727813,,,0,103,
A2QQ881L7N23D6:3OCHAWUVGOKK4Y6QIBHG1F43IL8KXT,3OCHAWUVGOKK4Y6QIBHG1F43IL8KXT,A2QQ881L7N23D6,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 01:10:49.782293,,2015-12-01 01:23:55.628567,0,101,
A274495PR1T4FQ:3FK0YFF9PZG6GKV7H0U5F3IZI83VVJ,3FK0YFF9PZG6GKV7H0U5F3IZI83VVJ,A274495PR1T4FQ,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 00:33:43.780042,,2015-12-01 00:46:17.637631,0,102,
A26RO8GGTQAXGG:3MMN5BL1WZ43EOZFJYN89C730V03MF,3MMN5BL1WZ43EOZFJYN89C730V03MF,A26RO8GGTQAXGG,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 00:45:59.517245,,,0,103,
A1WA3VMWGQJPYS:3WYGZ5XF3WFC8HKRO1BT27NB363SKQ,3WYGZ5XF3WFC8HKRO1BT27NB363SKQ,A1WA3VMWGQJPYS,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 00:46:45.775053,,2015-12-01 00:56:54.268019,0,101,
A3NHMKVK98NY7I:3OVHNO1VE611VN0VRCJEUNPO6C7DZ4,3OVHNO1VE611VN0VRCJEUNPO6C7DZ4,A3NHMKVK98NY7I,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 00:44:53.12983,,2015-12-01 00:58:32.46362,0,105,
A30ZBG4SIBCC2A:3M23Y66PO27592Z2MXHSSOIT2BK6S0,3M23Y66PO27592Z2MXHSSOIT2BK6S0,A30ZBG4SIBCC2A,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 00:47:37.433994,,2015-12-01 00:59:06.990302,0,101,
A1DVNAQ217BZJF:3OS4RQUCR9F2B9BBC4Y1W5L6RM6FBG,3OS4RQUCR9F2B9BBC4Y1W5L6RM6FBG,A1DVNAQ217BZJF,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 01:49:37.684099,,,0,103,
A2QEX61YIEGLL3:3IUZPWIU1O75FY1086LUZWQW9J0KWY,3IUZPWIU1O75FY1086LUZWQW9J0KWY,A2QEX61YIEGLL3,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 00:51:57.248397,,2015-12-01 01:02:55.656128,0,101,
A2NIG9U9WU0AFU:3AZHRG4CU4K6BAS8UT0ABF0QXS530A,3AZHRG4CU4K6BAS8UT0ABF0QXS530A,A2NIG9U9WU0AFU,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 01:48:26.337879,,2015-12-01 02:00:20.904441,0,101,
AEJO933AJ3ZZH:3Z4XG4ZF48R09X4P9MKDBAVCNLHX8Q,3Z4XG4ZF48R09X4P9MKDBAVCNLHX8Q,AEJO933AJ3ZZH,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 01:44:47.990863,,2015-12-01 01:55:54.768331,0,101,
AX6JQ37WUHFSH:33FBRBDW6OZC6ZTUIQOQXXA2M3TC83,33FBRBDW6OZC6ZTUIQOQXXA2M3TC83,AX6JQ37WUHFSH,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 01:46:10.057815,,2015-12-01 01:56:29.010699,0,101,
A3JPLY6F6UIT8K:3DOCMVPBTNEG0ADPDIMNV5U9A27NNL,3DOCMVPBTNEG0ADPDIMNV5U9A27NNL,A3JPLY6F6UIT8K,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 02:27:31.488391,,2015-12-01 02:36:37.292747,0,101,
A2Q1YS118AO2BP:3J2UYBXQQLC58TFQDVY8IICA7J706D,3J2UYBXQQLC58TFQDVY8IICA7J706D,A2Q1YS118AO2BP,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 01:48:40.501632,,2015-12-01 02:09:52.809802,0,101,
AZ42DH0DM2PFK:3H0W84IWBK2XL2S4DQ0LE25AX7YERE,3H0W84IWBK2XL2S4DQ0LE25AX7YERE,AZ42DH0DM2PFK,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 02:44:47.453196,,2015-12-01 02:53:40.929995,0,101,
A392TEMAWHHA4B:3WI0P0II61SSTWE4HVP18KNPXVWRDX,3WI0P0II61SSTWE4HVP18KNPXVWRDX,A392TEMAWHHA4B,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 02:45:29.389819,,2015-12-01 02:56:16.571066,0,102,
AZFQNK858N88F:3WLEIWSYHOHS1S2LO1TQYXUFDV92H2,3WLEIWSYHOHS1S2LO1TQYXUFDV92H2,AZFQNK858N88F,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 02:41:08.203006,,2015-12-01 02:56:43.617234,0,101,
ALC5JCSV9ZJ7V:3XLBSAQ9Z4CLEEZL0ZGSUVFSK1CZ75,3XLBSAQ9Z4CLEEZL0ZGSUVFSK1CZ75,ALC5JCSV9ZJ7V,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 02:45:15.145974,,2015-12-01 02:58:25.725464,0,101,
A2H5X9UTCEVO8U:3ZWFC4W1UU7PRGS081KRWKQA98CRF8,3ZWFC4W1UU7PRGS081KRWKQA98CRF8,A2H5X9UTCEVO8U,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 02:46:06.138404,,2015-12-01 02:56:45.774024,0,101,
A10E5MI9D5XEUQ:34BBWHLWHABE93BC830IMGBJHFJWI7,34BBWHLWHABE93BC830IMGBJHFJWI7,A10E5MI9D5XEUQ,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 02:52:21.220527,,2015-12-01 03:04:56.978827,0,101,
A149MN8UN8O976:37FMASSAYCRML0D1DC4MZ2YY7E2IBE,37FMASSAYCRML0D1DC4MZ2YY7E2IBE,A149MN8UN8O976,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 02:51:14.017745,,2015-12-01 03:11:48.568067,0,101,
A3B0PILMF4LCBU:30BXRYBRP4XED80S2LIXM4A4H24WHE,30BXRYBRP4XED80S2LIXM4A4H24WHE,A3B0PILMF4LCBU,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 02:43:56.054785,,,0,104,
A2FSMW9N68OJH7:3CFJTT4SXTQZJOAB0VS6U0C2OOCI7T,3CFJTT4SXTQZJOAB0VS6U0C2OOCI7T,A2FSMW9N68OJH7,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 03:11:44.569678,,2015-12-01 03:22:01.158566,0,101,
ANHTVHW3XY04Y:3ZR9AIQJUB9RT6BCU75TLKSWBS5400,3ZR9AIQJUB9RT6BCU75TLKSWBS5400,ANHTVHW3XY04Y,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-01 03:00:52.585547,,2015-12-01 03:13:06.214019,0,101,
AOQWB8XEHSD9D:333U7HK6I9FBV8VR9QGS6T1YOLVDJZ,333U7HK6I9FBV8VR9QGS6T1YOLVDJZ,AOQWB8XEHSD9D,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-12-04 23:41:58.008245,,,0,103,
A1MW350A7ECNSJ:3Z3ZLGNNSIUUZ3X7BRUPQLR8AVMQ3C,3Z3ZLGNNSIUUZ3X7BRUPQLR8AVMQ3C,A1MW350A7ECNSJ,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 20:38:34.395181,,2015-11-30 20:51:43.64664,0,101,
A1EGJDXS32BGRV:3TUI152ZZBNYP0JSONG62SCBCB6Q1I,3TUI152ZZBNYP0JSONG62SCBCB6Q1I,A1EGJDXS32BGRV,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:30:48.007964,,2015-11-30 19:45:03.828481,0,101,
A3MIIUL4O2DPY7:3KJYX6QCM9BXPPVD0BGMCF75NKNVJN,3KJYX6QCM9BXPPVD0BGMCF75NKNVJN,A3MIIUL4O2DPY7,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 21:07:19.703596,,,0,104,
A1UE7E35PUGZLT:3YOH7BII097S091VIWGYDU7I2AQVKR,3YOH7BII097S091VIWGYDU7I2AQVKR,A1UE7E35PUGZLT,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 22:31:28.646483,,2015-11-30 22:40:45.426889,0,101,
